SMILES,ID,pH
OSC#N,R1,7
CS(F)(=O)=O,R2,1
NC(N)=O,R3,7.4
NC(N)=O,R4,7.4
NC(=O)NO,R5,7.4
NC(N)=S,R6,9
NC(N)=S,R7,2.1
NC(N)=S,R8,6.5
NC(N)=S,R9,12
NC(N)=S,R10,7.4
CO,R11,6
CO,R12,7.4
CO,R13,7
CO,R14,7.4
CN,R15,13
CN,R16,7.4
CN,R17,8
CNN,R18,13
FC(F)(F)C(Cl)Br,R19,7
ClC(Cl)(Cl)C=O,R20,7.4
OCC(Cl)(Cl)Cl,R21,7.4
OC(O)C(Cl)(Cl)Cl,R22,7.4
OC(=O)CF,R23,7.4
NC1=NN=CS1,R24,7.4
NCC(F)(F)F,R25,13
ICCI,R26,7.4
NCC#N,R27,13
NC(N)=NC#N,R28,9
NC1=NNC=N1,R29,7
NC1=NN=C(S1)S(N)(=O)=O,R30,5.5
CC(O)=O,R31,1
CC(N)=O,R32,1
CC(N)=O,R33,7
COC(N)=O,R34,7.4
NCC(O)=O,R35,7
NCC(O)=O,R36,11
NCC(O)=O,R37,2
NCC(O)=O,R38,8.5
NCC(O)=O,R39,4.5
NCC(O)=O,R40,7.4
NCC(O)=O,R41,6.6
O=C(N(N=O)C)N,R42,8.9
CN(N=O)C(N)=O,R43,4
NC1=NC(N)=NN1,R44,7.4
CNC(N)=S,R45,6.5
CCO,R46,6
CCO,R47,7.2
CCO,R48,7
CCO,R49,7.4
CNC,R50,13
CCN,R51,13
NCCO,R52,7.4
NCCN,R53,13
NCCN,R54,7.5
BrC1=NC(Br)=C(N1)N(=O)=O,R55,7
IC1=C(N=CN1)N(=O)=O,R56,7.4
OC(=O)CC#N,R57,1
C1=NC=NC=N1,R58,7.4
O/N=C/C1=CN=NS1,R59,7.4
O=N(=O)C1=NC=CN1,R60,7.4
O=N(=O)C1=CNC=N1,R61,9
O=C1NN=CC(=O)N1,R62,7.4
O=C1NN=CC(=O)N1,R63,6.5
O=C1NN=CC(=O)N1,R64,7.4
NC1=NC=C(S1)N(=O)=O,R65,7.4
N1C=CN=C1,R66,9
N1C=CN=C1,R67,7.4
O=C1CNC(=O)N1,R68,7
NC1=NC=CS1,R69,13
CN1C=NC(N(=O)=O)=N1,R70,7.4
OC(=O)C=C,R71,1
OC(=O)C=C,R72,2
OC(=O)CC(O)=O,R73,1
COC(=O)CBr,R74,7.1
OC(=O)CCCl,R75,1
CC(F)C(O)=O,R76,6.4
CC(F)C(O)=O,R77,7
CC(F)C(O)=O,R78,7.4
CC(F)C(O)=O,R79,8.4
NCC#C,R80,13
CC(=O)C=NO,R81,7.4
NC1=CNN=C1,R82,13
CNCC(F)(F)F,R83,13
S=C1NCCN1,R84,6.5
COC(C)=O,R85,7.4
NCC=C,R86,13
NCC=C,R87,13
NCC=C,R88,13
CNC(C)=O,R89,1
CCC(N)=O,R90,1
CC(N)C(O)=O,R91,7
CC(N)C(O)=O,R92,7.1
CCOC(N)=O,R93,7.4
CNC(=O)OC,R94,7.4
NC(CS)C(O)=O,R95,7.1
NC(CO)C(O)=O,R96,7
NC(CO)C(O)=O,R97,7.1
CCN(N=O)C(N)=O,R98,4
CCN(N=O)C(N)=O,R99,8.9
CCOP(O)(=O)C(Cl)(Cl)P(O)(O)=O,R100,7.4
